[2021-12-16 19:41:19][INFO][tid:7549][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8002
[2021-12-16 19:45:59][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:46:01][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:46:01][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:46:04][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-16 19:46:05][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:46:05][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:46:26][INFO][tid:7945][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:47:11][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:47:12][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-16 19:47:12][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:48:08][INFO][tid:7945][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:48:09][INFO][tid:7945][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:49:08][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:49:08][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:49:09][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-16 19:49:31][INFO][tid:7945][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:50:05][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:50:05][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
